the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.83950859458373, 40.88262370442718]}",2,Bronx,212,12,83,36,15,Baychester Avenue and Needham Avenue,Bronx,2022-10-19T00:00:00.000,-73.83951,40.882632,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,11275
"{'type': 'Point', 'coordinates': [-73.98157055617864, 40.77359273082093]}",1,Manhattan,107,6,75,47,12,Columbus Avenue and West  66 Street,Manhattan,2016-08-04T00:00:00.000,-73.981572,40.773601,X,AREA OF MINIMAL FLOOD HAZARD,Upper West Side-Lincoln Square,20,4,19,12,,12420
"{'type': 'Point', 'coordinates': [-73.88433058273706, 40.839264714993114]}",2,Bronx,203,17,79,32,15,Boston Road with Vyse Avenue and East 176 Street,Bronx,2024-07-31T00:00:00.000,-73.884332,40.839273,X,AREA OF MINIMAL FLOOD HAZARD,Crotona Park East,34,5,43,25,,11269
"{'type': 'Point', 'coordinates': [-74.00268455371527, 40.68505374892389]}",3,Brooklyn,306,39,51,26,10,Columbia Street and Sackett Street,Brooklyn,2023-07-07T00:00:00.000,-74.002686,40.685062,X,AREA OF MINIMAL FLOOD HAZARD,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14,2,27,48,4,13514
"{'type': 'Point', 'coordinates': [-73.75944063055714, 40.72105573353912]}",4,Queens,408,23,33,11,5,Hillside Avenue and Francis Lewis Boulevard,Queens,2022-07-11T00:00:00.000,-73.759442,40.721064,X,AREA OF MINIMAL FLOOD HAZARD,Hollis,41,3,16,61,,24336
"{'type': 'Point', 'coordinates': [-74.0844965297695, 40.6482207588364]}",5,Staten Island,501,49,61,23,11,Richmond Terrace and Saint Peters Place,Staten Island,2022-06-29T00:00:00.000,-74.084498,40.648229,X,AREA OF MINIMAL FLOOD HAZARD,St. George-New Brighton,4,1,13,74,,10369
"{'type': 'Point', 'coordinates': [-73.95253056120849, 40.826417719907965]}",1,Manhattan,109,7,71,30,13,Riverside Drive and West 144 Street,Manhattan,2023-12-01T00:00:00.000,-73.952532,40.826426,X,AREA OF MINIMAL FLOOD HAZARD,Hamilton Heights-Sugar Hill,37,4,23,19,,12428
"{'type': 'Point', 'coordinates': [-73.8252936024506, 40.82967971440468]}",2,Bronx,210,13,82,34,14,East Tremont Avenue and Lafayette Avenue,Bronx,2023-12-06T00:00:00.000,-73.825295,40.829688,X,AREA OF MINIMAL FLOOD HAZARD,Throgs Neck-Schuylerville,43,5,12,28,,11274
"{'type': 'Point', 'coordinates': [-73.96210856797896, 40.669187750826694]}",3,Brooklyn,309,35,44,20,9,Washington Avenue and Classon Avenue,Brooklyn,2024-10-17T00:00:00.000,-73.96211,40.669196,X,AREA OF MINIMAL FLOOD HAZARD,Prospect Park,13,2,48,50,,13509
"{'type': 'Point', 'coordinates': [-73.92334350144395, 40.61322867766814]}",3,Brooklyn,318,46,59,21,8,Avenue S and East 53 Street,Brooklyn,2026-04-03T00:00:00.000,-73.9233449171,40.6132369166,X,AREA OF MINIMAL FLOOD HAZARD,Marine Park-Mill Basin-Bergen Beach,5,2,8,38,3,13825
"{'type': 'Point', 'coordinates': [-74.16382950956671, 40.57417677673643]}",5,Staten Island,502,51,63,24,11,Forest Hill Road and Yukon Avenue,Staten Island,2025-03-03T00:00:00.000,-74.163831,40.574185,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,30,1,9,75,,10693
"{'type': 'Point', 'coordinates': [-73.92262958058292, 40.66836374924917]}",3,Brooklyn,316,41,55,25,8,Eastern Parkway and Ralph Avenue,Brooklyn,2021-02-01T00:00:00.000,-73.922631,40.668372,X,AREA OF MINIMAL FLOOD HAZARD,Ocean Hill,55,2,17,46,,13516
"{'type': 'Point', 'coordinates': [-73.88719758831166, 40.728604736468114]}",4,Queens,405,30,30,12,6,57 Avenue and  74 Street,Queens,2026-02-05T00:00:00.000,-73.887199,40.728613,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,54,3,34,62,,14784
"{'type': 'Point', 'coordinates': [-73.89922157662151, 40.858675711051546]}",2,Bronx,205,14,86,33,13,Grand Concourse and Field Place,Bronx,2023-12-21T00:00:00.000,-73.899223,40.858684,X,AREA OF MINIMAL FLOOD HAZARD,Fordham Heights,6,5,29,29,,10936
"{'type': 'Point', 'coordinates': [-74.07825653438049, 40.6219807639075]}",5,Staten Island,501,49,61,23,11,Tompkins Avenue and Hill Street,Staten Island,2015-10-19T00:00:00.000,-74.078258,40.621989,X,AREA OF MINIMAL FLOOD HAZARD,Tompkinsville-Stapleton-Clifton-Fox Hills,4,1,13,74,,10691
"{'type': 'Point', 'coordinates': [-73.92938456911105, 40.832907717610276]}",2,Bronx,204,16,77,29,15,Ogden Avenue and West 164 Street,Bronx,2023-12-19T00:00:00.000,-73.929386,40.832916,X,AREA OF MINIMAL FLOOD HAZARD,Highbridge,50,5,35,27,,10930
"{'type': 'Point', 'coordinates': [-74.0164005481466, 40.70484374592219]}",1,Manhattan,101,1,61,27,10,Battery Place and West Street N/B,Manhattan,2024-09-27T00:00:00.000,-74.016402,40.704852,AE,,Financial District-Battery Park City,56,4,32,1,1,11725
"{'type': 'Point', 'coordinates': [-74.0975245279856, 40.614067766145496]}",5,Staten Island,501,49,63,24,11,Howard Avenue and Grand Avenue,Staten Island,2023-10-06T00:00:00.000,-74.097526,40.614076,X,AREA OF MINIMAL FLOOD HAZARD,West New Brighton-Silver Lake-Grymes Hill,4,1,13,74,,10369
"{'type': 'Point', 'coordinates': [-73.75347063116818, 40.74239672904115]}",4,Queens,411,23,24,11,6,Springfield Boulevard and  73 Avenue,Queens,2023-10-13T00:00:00.000,-73.753472,40.742405,X,AREA OF MINIMAL FLOOD HAZARD,Oakland Gardens-Hollis Hills,26,3,16,69,,14506
"{'type': 'Point', 'coordinates': [-73.79560461968325, 40.70085473902044]}",4,Queens,412,28,32,14,5,Liberty Avenue between 160 Street and Guy R Brewer Boulevard,Queens,2022-12-09T00:00:00.000,-73.795606,40.700863,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,46,61,,24672
"{'type': 'Point', 'coordinates': [-73.97161856594572, 40.651072754161824]}",3,Brooklyn,314,40,42,20,10,Park Circle and Parkside Avenue,Brooklyn,2023-09-19T00:00:00.000,-73.97162,40.651081,X,AREA OF MINIMAL FLOOD HAZARD,Prospect Park,60,2,27,45,,17620
"{'type': 'Point', 'coordinates': [-73.94693156387096, 40.81087172248731]}",1,Manhattan,110,9,70,30,13,7 Avenue and West 128 Street,Manhattan,2023-04-26T00:00:00.000,-73.946933,40.81088,X,AREA OF MINIMAL FLOOD HAZARD,Harlem (North),18,4,36,20,6,12424
"{'type': 'Point', 'coordinates': [-73.98497756311187, 40.62432476005907]}",3,Brooklyn,312,44,48,22,9,18 Avenue and  56 Street,Brooklyn,2024-06-11T00:00:00.000,-73.984979,40.624333,X,AREA OF MINIMAL FLOOD HAZARD,Borough Park,2,2,18,39,,16867
"{'type': 'Point', 'coordinates': [-73.97907555848113, 40.740386737683416]}",1,Manhattan,106,2,74,59,12,2 Avenue and East  27 Street,Manhattan,2023-09-27T00:00:00.000,-73.979077,40.740395,X,AREA OF MINIMAL FLOOD HAZARD,Murray Hill-Kips Bay,71,4,50,7,,12078
"{'type': 'Point', 'coordinates': [-73.87682458295575, 40.87111170812635]}",2,Bronx,207,11,80,33,15,Webster Avenue and East 204 Street,Bronx,2026-07-07T00:00:00.000,-73.876826,40.87112,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,11605
"{'type': 'Point', 'coordinates': [-73.92631357856507, 40.691919745108464]}",3,Brooklyn,304,41,56,25,8,Broadway and Van Buren Street,Brooklyn,2026-03-13T00:00:00.000,-73.926315,40.691928,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (East),69,2,17,52,,18181
"{'type': 'Point', 'coordinates': [-73.95553156981234, 40.68170874819114]}",3,Brooklyn,303,36,57,25,8,Franklin Avenue and Hancock Street,Brooklyn,2023-06-14T00:00:00.000,-73.955533,40.681717,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,49,51,,17618
"{'type': 'Point', 'coordinates': [-73.93335057238629, 40.75826773178665]}",4,Queens,401,26,36,59,7,Crescent Street and  36 Avenue,Queens,2025-03-27T00:00:00.000,-73.933352,40.758276,X,AREA OF MINIMAL FLOOD HAZARD,Queensbridge-Ravenswood-Dutch Kills,39,3,33,72,6,16863
"{'type': 'Point', 'coordinates': [-74.10653652382267, 40.63469576248912]}",5,Staten Island,501,49,63,23,11,Castleton Avenue and Bard Avenue,Staten Island,2023-09-08T00:00:00.000,-74.106538,40.634704,X,AREA OF MINIMAL FLOOD HAZARD,West New Brighton-Silver Lake-Grymes Hill,4,1,13,74,,10697
"{'type': 'Point', 'coordinates': [-74.14436051351157, 40.61617676721303]}",5,Staten Island,501,50,61,24,11,Watchogue Road and Willowbrook Road and Stewart Avenue,Staten Island,2023-11-22T00:00:00.000,-74.144362,40.616185,X,AREA OF MINIMAL FLOOD HAZARD,Westerleigh-Castleton Corners,4,1,14,75,,10700
"{'type': 'Point', 'coordinates': [-73.96251356188914, 40.76310573223794]}",1,Manhattan,108,5,76,28,12,2 Avenue and East  63 Street,Manhattan,2025-12-09T00:00:00.000,-73.962515,40.763114,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Lenox Hill-Roosevelt Island,23,4,1,11,,10090
"{'type': 'Point', 'coordinates': [-73.93217039010445, 40.7577005774397]}",4,Queens,401,26,36,59,7,36 Avenue and 28 Street,Queens,2026-05-13T00:00:00.000,-73.9321718177,40.7577088452,X,AREA OF MINIMAL FLOOD HAZARD,Queensbridge-Ravenswood-Dutch Kills,39,3,33,72,6,16863
"{'type': 'Point', 'coordinates': [-73.91035058043425, 40.745667734176486]}",4,Queens,402,26,37,12,6,Skillman Avenue and  54 Street,Queens,2019-10-08T00:00:00.000,-73.910352,40.745676,X,AREA OF MINIMAL FLOOD HAZARD,Woodside,53,3,33,66,,14787
"{'type': 'Point', 'coordinates': [-74.07972453351155, 40.628941762406704]}",5,Staten Island,501,49,61,23,11,Van Duzer Street and Beach Street,Staten Island,2023-03-28T00:00:00.000,-74.079726,40.62895,X,AREA OF MINIMAL FLOOD HAZARD,Tompkinsville-Stapleton-Clifton-Fox Hills,4,1,13,74,2,10691
"{'type': 'Point', 'coordinates': [-73.91835058484656, 40.62974275682352]}",3,Brooklyn,318,46,59,21,9,Ralph Avenue and Bergen Avenue,Brooklyn,2022-05-20T00:00:00.000,-73.918352,40.629751,X,AREA OF MINIMAL FLOOD HAZARD,Flatlands,5,2,8,38,3,13825
"{'type': 'Point', 'coordinates': [-73.8256786047277, 40.78169772346766]}",4,Queens,407,19,27,11,14,20 Avenue and Whitestone Expressway N/B S/R,Queens,2018-11-29T00:00:00.000,-73.82568,40.781706,X,AREA OF MINIMAL FLOOD HAZARD,College Point,22,3,20,67,3,14191
"{'type': 'Point', 'coordinates': [-73.96166856715189, 40.682681748363024]}",3,Brooklyn,302,35,57,25,8,Grand Avenue and Putnam Avenue,Brooklyn,2025-08-01T00:00:00.000,-73.96167,40.68269,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),68,2,48,55,,13829
"{'type': 'Point', 'coordinates': [-73.8432436011258, 40.75532772923197]}",4,Queens,481,21,27,16,6,Roosevelt Avenue and 126 Street,Queens,2026-02-11T00:00:00.000,-73.843245,40.755336,AE,,Flushing Meadows-Corona Park,67,3,21,68,1,14510
"{'type': 'Point', 'coordinates': [-73.94417956676196, 40.79223672596007]}",1,Manhattan,111,8,68,29,13,3 Avenue and East 107 Street,Manhattan,2023-05-31T00:00:00.000,-73.944181,40.792245,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,East Harlem (South),7,4,35,14,3,12426
"{'type': 'Point', 'coordinates': [-74.11946176577064, 40.61331834495929]}",5,Staten Island,501,49,63,24,11,Victory Boulevard with Hodges Place and Todt Hill Road,Staten Island,2025-04-17T00:00:00.000,-74.1194632446,40.6133265779,X,AREA OF MINIMAL FLOOD HAZARD,Westerleigh-Castleton Corners,4,1,13,74,,10700
"{'type': 'Point', 'coordinates': [-73.81783361343568, 40.67951674373707]}",4,Queens,410,28,31,15,5,Linden Boulevard and 122 Street,Queens,2024-12-10T00:00:00.000,-73.817835,40.679525,X,AREA OF MINIMAL FLOOD HAZARD,South Ozone Park,62,3,46,64,6,24016
"{'type': 'Point', 'coordinates': [-73.94789057146487, 40.68876674583837]}",3,Brooklyn,303,36,56,25,8,Marcy Avenue and Greene Avenue,Brooklyn,2024-01-11T00:00:00.000,-73.947892,40.688775,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,49,51,,17618
"{'type': 'Point', 'coordinates': [-73.92629558324434, 40.61318576070227]}",3,Brooklyn,318,46,59,21,8,Flatbush Avenue with Utica Avenue and Avenue S,Brooklyn,2024-07-24T00:00:00.000,-73.926297,40.613194,X,AREA OF MINIMAL FLOOD HAZARD,Marine Park-Mill Basin-Bergen Beach,5,2,8,38,3,13825
"{'type': 'Point', 'coordinates': [-73.7985446189597, 40.703980738068225]}",4,Queens,412,27,32,14,5,Jamaica Avenue and 161 Street,Queens,2022-08-04T00:00:00.000,-73.798546,40.703989,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24340
"{'type': 'Point', 'coordinates': [-73.8675115935855, 40.74936673156797]}",4,Queens,404,21,34,13,14,Roosevelt Avenue and  98 Street,Queens,2021-06-07T00:00:00.000,-73.867513,40.749375,X,AREA OF MINIMAL FLOOD HAZARD,Corona,66,3,21,68,,14510
"{'type': 'Point', 'coordinates': [-73.98637455672484, 40.730371739594105]}",1,Manhattan,103,2,66,27,10,2 Avenue and East  11 Street,Manhattan,2026-05-22T00:00:00.000,-73.986376,40.73038,X,AREA OF MINIMAL FLOOD HAZARD,East Village,70,4,50,5,6,11724
"{'type': 'Point', 'coordinates': [-73.77551662568966, 40.71463573509218]}",4,Queens,412,23,29,11,5,Hillside Avenue with 187 Street and Chelsea Street,Queens,2021-10-06T00:00:00.000,-73.775518,40.714644,X,AREA OF MINIMAL FLOOD HAZARD,Hollis,41,3,6,61,,24332
