id,referencenumber,studyunit,datecreated,externalreferencenumber,daterequested,statusdescription,studystatus,statusdate,requesttype,dateassigned,borough,locationtype,mainstreet,crossstreet1,crossstreet2,midblock,removal,visionzero,seasonal,hurricanesandy,schoolhold,consultant,schoolcrossing,targetdate,locationnotes,schoolname,am_count,pm_count,schooldismissal,pedestriancount,gap,speed,compassdirectionone,oldreferencenumber,atr_receivedate,atr_requestdate,warrantdescription,warrantsstudytype,tentativesignalinstalldate,am_count2,pm_count2,midday_count,pedestriancount2,gap2,speed2,compassdirectiontwo,aw_installdate,schoolnumber,findings,signalinstalldate,midday_count2,schooldismissal2,otherstudies,warrantssatisfieddate,otherstudies2
227068,CQ25-2359,ICU,2025-07-17T10:30:51.000,DOT-705158-V7S9,2025-07-11T00:00:00.000,Study Request Denial,CLOSED,2025-12-04T00:00:00.000,All-Way Stop,2025-10-30T00:00:00.000,Queens,Intersection,78 AVENUE,60 STREET,,No,No,No,No,No,No,No,Yes,,,CHILDCARE MY FIRST STEPS DAYCARE / P.S. 068 CAMBRIDGE,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,,CQ20-1732,,,,,,,,,,,,,,,,,,,,,
227001,CQ25-2292,ICU,2025-07-09T16:31:22.000,DOT-703974-N1F2,2025-07-02T00:00:00.000,Study Request Denial,CLOSED,2025-08-11T00:00:00.000,Traffic Signal,2025-07-16T00:00:00.000,Queens,Intersection,STARR STREET,ONDERDONK AVENUE,,No,No,No,Yes,No,No,No,No,,,,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,2025-07-25T00:00:00.000,,CQ22-0674,,,,,,,,2025-07-25T00:00:00.000,,,,,,,,,,,,,
225958,CQ25-2240,ICU,2025-07-02T16:25:54.000,DOT-703526-G0X2,2025-06-30T00:00:00.000,Study Request Denial,CLOSED,2025-11-07T00:00:00.000,Traffic Signal,2025-09-11T00:00:00.000,Queens,Intersection,DEKALB AVENUE,ONDERDONK AVENUE,,No,No,No,Yes,No,No,No,Yes,,,P.S. 305 LEARNERS AND LEADERS,2025-08-25T00:00:00.000,2025-08-25T00:00:00.000,2025-10-29T00:00:00.000,2025-08-25T00:00:00.000,,,,CQ19-3735,,,,,,2025-10-29T00:00:00.000,2025-10-29T00:00:00.000,2025-08-25T00:00:00.000,2025-10-29T00:00:00.000,,,,,,,,,,,,
224822,CQ25-2094B,SE,2025-06-16T17:15:55.000,DOT-698875-J9D0,2025-05-30T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-09-22T00:00:00.000,Traffic Signal,2025-05-30T00:00:00.000,Queens,Intersection,BORDEN AVENUE,MAURICE AVENUE,LONG ISLAND EXPRESSWAY,No,No,No,No,No,No,No,No,2025-08-22T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224790,CQ25-2062,ICU,2025-06-14T10:19:52.000,DOT-699946-Y5J5,2025-06-09T00:00:00.000,Study Request Denial,CLOSED,2025-09-15T00:00:00.000,Traffic Signal,2025-08-27T00:00:00.000,Queens,Intersection,COOPER AVENUE,60 LANE,,No,No,No,No,No,No,No,No,,,,2025-09-03T00:00:00.000,2025-09-03T00:00:00.000,,2025-09-03T00:00:00.000,,,N,CQ21-1143,,,,,,,,,,,,,,,,,,,,,
224768,CQ25-2040,ICU,2025-06-13T10:09:36.000,DOT-699461-S5L3,2025-06-04T00:00:00.000,Study Request Denial,CLOSED,2025-11-24T00:00:00.000,All-Way Stop,2025-09-11T00:00:00.000,Queens,Intersection,76 STREET,78 AVENUE,,No,No,No,Yes,No,No,No,Yes,,,I.S. 119 THE GLENDALE,2025-08-26T00:00:00.000,2025-08-26T00:00:00.000,2025-11-10T00:00:00.000,2025-08-26T00:00:00.000,2025-08-26T00:00:00.000,2025-08-26T00:00:00.000,,CQ01-0816,,,,,,2025-11-10T00:00:00.000,2025-11-10T00:00:00.000,2025-08-26T00:00:00.000,2025-11-10T00:00:00.000,2025-11-10T00:00:00.000,2025-11-10T00:00:00.000,,,,,,,,,,
224728,CQ25-2000,ICU,2025-06-11T11:39:44.000,DOT-698780-Z1B7,2025-05-30T00:00:00.000,Study Request Denial,CLOSED,2025-12-12T00:00:00.000,All-Way Stop,2025-11-25T00:00:00.000,Queens,Intersection,72 PLACE,COOPER AVENUE,,No,No,No,No,No,No,No,Yes,,,I.S. 119 THE GLENDALE,2025-12-03T00:00:00.000,2025-12-03T00:00:00.000,2025-12-03T00:00:00.000,2025-12-03T00:00:00.000,,,,CQ19-2452,,,,,,,,,,,,,,,,,,,,,
224727,CQ25-1999,ICU,2025-06-11T11:16:29.000,DOT-698859-C7H6; DOT-698862-G2F1,2025-05-30T00:00:00.000,Study Request Denial,CLOSED,2025-12-15T00:00:00.000,All-Way Stop,2025-11-25T00:00:00.000,Queens,Intersection,MENAHAN STREET,60 PLACE,240 STREET,No,No,No,No,No,No,No,Yes,,,NOTRE DAME CATHOLIC ACADEMY OF RIDGEWOOD,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,,CQ10-1848,,,,,,,,,,,,,,,,,,,,,
224635,CQ25-1907B,SE,2025-06-04T15:48:53.000,DOT-697689-F6X1,2025-05-27T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-25T00:00:00.000,Accessible Pedestrian Signal,2025-05-27T00:00:00.000,Queens,Intersection,METROPOLITAN AVENUE,74 STREET,,No,No,No,No,No,No,No,No,2025-09-10T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224632,CQ25-1904B,SE,2025-06-04T15:23:23.000,DOT-696953-R9S6,2025-05-27T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-12-12T00:00:00.000,Left Turn Arrow/Signal,2025-05-27T00:00:00.000,Queens,Intersection,FOREST AVENUE,CATALPA AVENUE,,No,No,No,No,No,No,No,No,2025-12-19T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224561,CQ25-1833B,SE,2025-06-02T17:58:22.000,DOT-696695-W6L7,2025-05-15T00:00:00.000,Case Forward to Another Unit,CLOSED,2025-07-16T00:00:00.000,Accessible Pedestrian Signal,2025-05-15T00:00:00.000,Queens,Intersection,STOCKHOLM STREET,SENECA AVENUE,,No,No,No,No,No,No,No,No,2025-08-07T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223494,CQ25-1762B,SE,2025-05-27T13:44:30.000,DOT-695787-M1Q7,2025-05-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-08-18T00:00:00.000,Traffic Signal,2025-05-09T00:00:00.000,Queens,Intersection,WOODHAVEN BOULEVARD,UNION TURNPIKE,,No,No,No,No,No,No,No,No,2025-08-29T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220433,CQ25-1691B,SE,2025-05-15T16:18:34.000,DOT-695606-Z0R7,2025-05-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-05-12T00:00:00.000,Accessible Pedestrian Signal,2025-05-09T00:00:00.000,Queens,Intersection,71 AVENUE,MYRTLE AVENUE,,No,No,No,No,No,No,No,No,2025-08-01T00:00:00.000,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,
219415,CQ25-1652B,SE,2025-05-07T15:04:44.000,DOT-693820-Z1Z6,2025-04-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-12-05T00:00:00.000,Leading Pedestrian Interval,2025-04-28T00:00:00.000,Queens,Intersection,WYCKOFF AVENUE,COOPER AVENUE,LONG ISLAND RAILROAD,No,No,No,No,No,No,No,No,2025-08-18T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219385,CQ25-1622B,SE,2025-05-07T13:10:18.000,DOT-693408-Z7D8,2025-04-25T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-12-12T00:00:00.000,Left Turn Arrow/Signal,2025-04-25T00:00:00.000,Queens,Intersection,CENTRAL AVENUE,CYPRESS HILLS STREET,64 STREET,No,No,No,No,No,No,No,No,2025-11-23T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219274,CQ25-1511,ICU,2025-05-01T12:12:42.000,,2025-05-01T00:00:00.000,Study Request Denial,CLOSED,2025-10-21T00:00:00.000,Traffic Signal,2025-05-16T00:00:00.000,Queens,Intersection,FLUSHING AVENUE,56 STREET,LONG ISLAND RAILROAD,No,No,No,No,No,No,No,Yes,,,Q009 (D75) AT THE WALTER REED SCHOOL,2025-09-16T00:00:00.000,2025-09-16T00:00:00.000,2025-09-16T00:00:00.000,2025-09-16T00:00:00.000,2025-09-16T00:00:00.000,2025-09-16T00:00:00.000,N,,,,,,,2025-10-09T00:00:00.000,2025-10-09T00:00:00.000,,2025-10-09T00:00:00.000,2025-10-09T00:00:00.000,2025-10-09T00:00:00.000,,,,,,,2025-10-09T00:00:00.000,,,
219273,CQ25-1510,ICU,2025-05-01T12:07:34.000,,2025-05-01T00:00:00.000,Study Request Denial,CLOSED,2025-07-14T00:00:00.000,Traffic Signal,2025-05-16T00:00:00.000,Queens,Intersection,61 STREET,57 ROAD,,No,No,No,No,No,No,No,Yes,,,PS 58 THE SCHOOL OF HEROES,2025-06-18T00:00:00.000,2025-06-18T00:00:00.000,2025-06-18T00:00:00.000,2025-06-18T00:00:00.000,2025-06-18T00:00:00.000,2025-06-18T00:00:00.000,,CQ21-2527,,,,,,,,2025-06-18T00:00:00.000,,,,,,,,,,,,,
219270,CQ25-1507,ICU,2025-05-01T11:52:22.000,,2025-05-01T00:00:00.000,Study Request Denial,CLOSED,2025-07-22T00:00:00.000,Traffic Signal,2025-05-16T00:00:00.000,Queens,Intersection,69 PLACE,65 DRIVE,,No,No,No,No,No,No,No,Yes,,,Q255 (D75) AT P.S. 128,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,2025-06-24T00:00:00.000,,CQ18-3071,,,,,,,,2025-06-24T00:00:00.000,,,,,,,,,,,,,
219255,CQ25-1492,ICU,2025-04-30T12:11:53.000,,2025-04-30T00:00:00.000,Study Request Denial,CLOSED,2025-10-10T00:00:00.000,Traffic Signal,2025-09-11T00:00:00.000,Queens,Intersection,EDSALL AVENUE,75 STREET,70 AVENUE,No,No,No,Yes,No,No,No,Yes,,,I.S. 119 THE GLENDALE,2025-08-21T00:00:00.000,2025-08-21T00:00:00.000,2025-09-30T00:00:00.000,2025-08-21T00:00:00.000,2025-08-21T00:00:00.000,2025-08-21T00:00:00.000,,,,,,,,2025-09-30T00:00:00.000,2025-09-30T00:00:00.000,2025-08-21T00:00:00.000,2025-09-30T00:00:00.000,2025-09-30T00:00:00.000,2025-09-30T00:00:00.000,,,,,,,,,,
218127,CQ25-1333,ICU,2025-04-21T15:24:17.000,DOT-692281-M4T7,2025-04-18T00:00:00.000,Study Request Denial,CLOSED,2025-05-15T00:00:00.000,Traffic Signal,2025-04-24T00:00:00.000,Queens,Intersection,69 STREET,62 AVENUE,,No,No,No,No,No,No,No,No,,,,2025-04-30T00:00:00.000,2025-04-11T00:00:00.000,,2025-04-11T00:00:00.000,2025-04-11T00:00:00.000,2025-04-11T00:00:00.000,,CQ17-3460,,,,,,,,,,,,,,,,,,,,,
217004,CQ25-1196,ICU,2025-04-15T11:37:01.000,DOT-688026-R9S2,2025-03-14T00:00:00.000,Study Request Denial,CLOSED,2025-11-03T00:00:00.000,Traffic Signal,2025-09-16T00:00:00.000,Queens,Intersection,GATES AVENUE,GRANDVIEW AVENUE,,No,No,No,No,No,No,No,Yes,,,Q075 (D75) AT I.S. 093 RIDGEWOOD,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,2025-10-16T00:00:00.000,,CQ20-1328,,,,,,,,,,,,,,,,,,,,,
217002,CQ25-1194,ICU,2025-04-15T09:55:44.000,DOT-687727-T3L8,2025-03-12T00:00:00.000,Study Request Denial,CLOSED,2025-07-08T00:00:00.000,Traffic Signal,2025-05-28T00:00:00.000,Queens,Intersection,78 AVENUE,84 STREET,,No,No,No,No,No,No,No,Yes,,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,2025-06-09T00:00:00.000,2025-06-09T00:00:00.000,2025-06-09T00:00:00.000,2025-06-09T00:00:00.000,2025-06-09T00:00:00.000,2025-06-09T00:00:00.000,,CQ21-1538,,,,,,,,2025-06-09T00:00:00.000,,,,,,,,,,,,,
214570,CQ25-0725B,SE,2025-03-18T19:50:41.000,DOT-687555-R5K8,2025-03-11T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-06-18T00:00:00.000,Left Turn Arrow/Signal,2025-03-11T00:00:00.000,Queens,Intersection,JUNIPER VALLEY ROAD,80 STREET,DRY HARBOR ROAD,No,No,No,No,No,No,No,No,2025-10-11T00:00:00.000,,,2025-04-22T00:00:00.000,2025-04-22T00:00:00.000,2025-04-22T00:00:00.000,2025-04-22T00:00:00.000,2025-04-22T00:00:00.000,2025-04-22T00:00:00.000,,,,,,,,,,2025-04-22T00:00:00.000,,,,,,,,,,,,,
214427,CQ25-0582B,SE,2025-03-11T16:33:31.000,DOT-687303-K6P4,2025-03-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-03-18T00:00:00.000,Accessible Pedestrian Signal,2025-03-10T00:00:00.000,Queens,Intersection,STEPHEN STREET,CYPRESS AVENUE,,No,No,No,No,No,No,No,No,2025-06-30T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214401,CQ25-0556,ICU,2025-03-11T10:12:41.000,DOT-687273-V5D6; DOT-716890-Q6F6,2025-03-10T00:00:00.000,Study Request Denial,CLOSED,2025-07-08T00:00:00.000,All-Way Stop,2025-05-28T00:00:00.000,Queens,Intersection,60 STREET,56 DRIVE,,No,No,No,No,No,No,No,Yes,,,MARTIN LUTHER HIGH SCHOOL,2025-06-10T00:00:00.000,2025-06-10T00:00:00.000,2025-06-10T00:00:00.000,2025-06-10T00:00:00.000,2025-06-10T00:00:00.000,2025-06-10T00:00:00.000,,CQ21-1190,,,,,,,,2025-06-10T00:00:00.000,,,,,,,,,,,,,
214342,CQ25-0497B,SE,2025-02-28T16:50:46.000,DOT-685543-G5N5,2025-02-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-08-11T00:00:00.000,Left Turn Arrow/Signal,2025-02-26T00:00:00.000,Queens,Intersection,69 STREET,JUNIPER VALLEY ROAD,69 PLACE,No,No,No,No,No,No,No,No,2025-09-25T00:00:00.000,,,2025-05-15T00:00:00.000,2025-05-15T00:00:00.000,2025-05-15T00:00:00.000,2025-05-15T00:00:00.000,2025-05-15T00:00:00.000,2025-05-15T00:00:00.000,,,,,,,,,,2025-05-15T00:00:00.000,,,,,,,,,,,,,
214302,CQ25-0457B,SE,2025-02-26T13:56:55.000,DOT-684604-W0H9,2025-02-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-08-21T00:00:00.000,Left Turn Arrow/Signal,2025-02-18T00:00:00.000,Queens,Intersection,ELIOT AVENUE,LUTHERAN AVENUE,,No,No,No,No,No,No,No,No,2025-09-17T00:00:00.000,,,2025-07-10T00:00:00.000,2025-07-10T00:00:00.000,2025-07-10T00:00:00.000,2025-07-10T00:00:00.000,2025-07-10T00:00:00.000,2025-07-10T00:00:00.000,,,,,,,,,,2025-07-10T00:00:00.000,,,,,,,,,,,,,
214257,CQ25-0412,ICU,2025-02-20T13:27:46.000,DOT-684797-M0V6; DOT-691084-C8P1,2025-02-19T00:00:00.000,Study Request Denial,CLOSED,2025-07-08T00:00:00.000,All-Way Stop,2025-04-09T00:00:00.000,Queens,Intersection,FAIRVIEW AVENUE,GREENE AVENUE,,No,No,No,No,No,No,No,No,,,,2025-06-04T00:00:00.000,2025-06-04T00:00:00.000,2025-06-04T00:00:00.000,2025-06-04T00:00:00.000,2025-06-04T00:00:00.000,2025-06-04T00:00:00.000,,CQ19-1083,,,,,,,,2025-06-04T00:00:00.000,,,,,,,,,,,,,
214206,CQ25-0361B,SE,2025-02-18T11:41:29.000,DOT-682897-Z1K1,2025-02-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-29T00:00:00.000,Traffic Signal,2025-02-10T00:00:00.000,Queens,Intersection,WOODHAVEN BOULEVARD,ELIOT AVENUE,,No,No,No,No,No,No,No,No,2025-05-04T00:00:00.000,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
214141,CQ25-0296B,SE,2025-02-03T18:26:35.000,DOT-682896-L3G3,2025-02-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-29T00:00:00.000,Leading Pedestrian Interval,2025-02-03T00:00:00.000,Queens,Intersection,86 STREET,ELIOT AVENUE,,No,No,No,No,No,No,No,No,2025-05-26T00:00:00.000,,,2025-03-12T00:00:00.000,2025-03-12T00:00:00.000,2025-03-12T00:00:00.000,2025-03-12T00:00:00.000,2025-03-12T00:00:00.000,2025-03-12T00:00:00.000,,,,,,,,,,2025-03-12T00:00:00.000,,,,,,,,,,,,,
214131,CQ25-0286B,SE,2025-02-03T14:21:36.000,DOT-682483-P5V5,2025-01-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-04-25T00:00:00.000,Leading Pedestrian Interval,2025-01-28T00:00:00.000,Queens,Stretch,ELIOT AVENUE,84 STREET,85 STREET,No,No,No,No,No,No,No,No,2025-05-20T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214130,CQ25-0285B,SE,2025-02-03T14:19:21.000,DOT-682478-Y1G1,2025-01-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-04-24T00:00:00.000,Traffic Signal,2025-01-28T00:00:00.000,Queens,Stretch,ELIOT AVENUE,84 STREET,85 STREET,No,No,No,No,No,No,No,No,2025-05-20T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214116,CQ25-0271,ICU,2025-01-31T15:25:49.000,DOT-682721-C4H7; DOT-685099-P2D2,2025-01-30T00:00:00.000,Study Request Denial,CLOSED,2025-03-24T00:00:00.000,All-Way Stop,2025-02-12T00:00:00.000,Queens,Intersection,MYRTLE AVENUE,72 STREET,,No,No,No,No,No,No,No,No,,,,2025-02-20T00:00:00.000,2025-02-20T00:00:00.000,2025-02-20T00:00:00.000,2025-02-20T00:00:00.000,2025-02-20T00:00:00.000,2025-02-20T00:00:00.000,,,,,,,,,,2025-02-20T00:00:00.000,,,,,,,,,,,,,
214024,CQ25-0179B,SE,2025-01-23T10:13:13.000,DOT-666623-F8V1,2025-01-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-29T00:00:00.000,Leading Pedestrian Interval,2025-01-03T00:00:00.000,Queens,Intersection,MYRTLE AVENUE,CYPRESS HILLS STREET,,No,No,No,No,No,No,No,No,2025-03-25T00:00:00.000,,,2025-03-25T00:00:00.000,2025-03-25T00:00:00.000,2025-03-25T00:00:00.000,2025-03-25T00:00:00.000,2025-03-25T00:00:00.000,2025-03-25T00:00:00.000,,,,,,,,,,2025-03-25T00:00:00.000,,,,,,,,,,,,,
214017,CQ25-0172,ICU,2025-01-22T16:16:34.000,DOT-681691-J8M7,2025-01-19T00:00:00.000,Study Request Denial,CLOSED,2025-02-24T00:00:00.000,All-Way Stop,2025-01-31T00:00:00.000,Queens,Intersection,CYPRESS AVENUE,PUTNAM AVENUE,,No,No,No,No,No,No,No,No,,,,2025-02-06T00:00:00.000,2025-02-06T00:00:00.000,2025-02-06T00:00:00.000,2025-02-06T00:00:00.000,2025-02-06T00:00:00.000,2025-02-06T00:00:00.000,,CQ19-0984,,,,,,,,2025-02-06T00:00:00.000,,,,,,,,,,,,,
213939,CQ25-0094B,SE,2025-01-16T10:28:17.000,DOT-680188-D5W1,2025-01-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-23T00:00:00.000,Leading Pedestrian Interval,2025-01-15T00:00:00.000,Queens,Intersection,METROPOLITAN AVENUE,FOREST AVENUE,,No,No,No,No,No,No,No,No,2025-01-21T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
